sad, 0, 0
emotionless, 0, 1
disgust, 0, 0
anger, 0, 0
surprise, 0, 4
fear, 0, 0
happy, 0, 1
sad, 1, 17
emotionless, 1, 1
disgust, 1, 0
anger, 1, 0
surprise, 1, 0
fear, 1, 0
happy, 1, 0
sad, 2, 14
emotionless, 2, 8
disgust, 2, 0
anger, 2, 0
surprise, 2, 1
fear, 2, 0
happy, 2, 0
sad, 3, 4
emotionless, 3, 12
disgust, 3, 0
anger, 3, 0
surprise, 3, 0
fear, 3, 0
happy, 3, 0
sad, 4, 3
emotionless, 4, 8
disgust, 4, 0
anger, 4, 2
surprise, 4, 1
fear, 4, 0
happy, 4, 0
sad, 5, 1
emotionless, 5, 10
disgust, 5, 0
anger, 5, 1
surprise, 5, 0
fear, 5, 0
happy, 5, 0
sad, 6, 1
emotionless, 6, 2
disgust, 6, 0
anger, 6, 0
surprise, 6, 0
fear, 6, 0
happy, 6, 0
sad, 7, 0
emotionless, 7, 0
disgust, 7, 1
anger, 7, 2
surprise, 7, 0
fear, 7, 0
happy, 7, 0
sad, 8, 2
emotionless, 8, 4
disgust, 8, 1
anger, 8, 8
surprise, 8, 0
fear, 8, 3
happy, 8, 0
sad, 9, 3
emotionless, 9, 5
disgust, 9, 0
anger, 9, 1
surprise, 9, 1
fear, 9, 2
happy, 9, 1
sad, 10, 0
emotionless, 10, 2
disgust, 10, 0
anger, 10, 1
surprise, 10, 0
fear, 10, 0
happy, 10, 0
sad, 11, 0
emotionless, 11, 1
disgust, 11, 0
anger, 11, 2
surprise, 11, 0
fear, 11, 0
happy, 11, 0
sad, 12, 0
emotionless, 12, 0
disgust, 12, 0
anger, 12, 5
surprise, 12, 1
fear, 12, 0
happy, 12, 0
sad, 13, 0
emotionless, 13, 0
disgust, 13, 0
anger, 13, 0
surprise, 13, 1
fear, 13, 1
happy, 13, 0
sad, 14, 5
emotionless, 14, 3
disgust, 14, 2
anger, 14, 0
surprise, 14, 1
fear, 14, 0
happy, 14, 2
sad, 15, 7
emotionless, 15, 8
disgust, 15, 1
anger, 15, 0
surprise, 15, 1
fear, 15, 0
happy, 15, 0
sad, 16, 0
emotionless, 16, 3
disgust, 16, 1
anger, 16, 0
surprise, 16, 3
fear, 16, 0
happy, 16, 0
sad, 17, 5
emotionless, 17, 6
disgust, 17, 0
anger, 17, 4
surprise, 17, 4
fear, 17, 1
happy, 17, 1
sad, 18, 1
emotionless, 18, 9
disgust, 18, 0
anger, 18, 0
surprise, 18, 1
fear, 18, 0
happy, 18, 4
sad, 19, 1
emotionless, 19, 2
disgust, 19, 0
anger, 19, 12
surprise, 19, 2
fear, 19, 0
happy, 19, 2
sad, 20, 0
emotionless, 20, 12
